,,,,
,,,,
user,Pic,Website link,GitHub link,Twitter link
Gabriel Teniță (ggedamed),https://crowdin-user-avatar.s3.amazonaws.com/c2c2bd8cf5b3a0442d6c6d285ffc8b35_l.jpg,http://www.tenita.eu/,geedamed,
Alper Demir (alper-demir),https://www.gravatar.com/avatar/155283423312fb422acc72b8ef875c38?s=150	,,,
A Petapouca (petapouca),https://www.gravatar.com/avatar/3fe146dc77a5b5f9a8c17394210baf09?s=150,http://decolonial.gal/,,petapouca
Enzo Ferrara (ferribbotte),https://www.gravatar.com/avatar/6698c8153715220dd43511e416505f1f?s=150	,,,
DaoKakao,,,DaoKakao,
Koral,,,,
Filip Filipović (filipfilipovic),https://crowdin-user-avatar.s3.amazonaws.com/d385d7141283e67dd1aa120c7e68966e_l.jpg,,,
Michael Dekker (mdekker),https://www.gravatar.com/avatar/1b4d5f51ddfbc1ce787964399c39b341?	,,firstred,
lolypop000,,,,
Patrik Lindblom (extendus),,http://www.extendus.se/,extendus,extendus
Monika (monikaraciunaite),https://www.gravatar.com/avatar/39b6e6b23dcfed3f7bbfb3dd019f3c5f?s=150	,,monikaraciunaite,
Roy (rstvMacRoy),,,,
eleazar,https://www.gravatar.com/avatar/3b0cb93e1841723e05b7d553dc2748f9?s=150	,,,
ondrej_pisa,,,,
SkaZun (raidhunters),https://crowdin-user-avatar.s3.amazonaws.com/77547d91a6adf46ac42dbd6a9f959bda_l.jpg	,,,
Danni Afasyah (prestanesia),https://www.gravatar.com/avatar/b3c19207aa2aa1d11ffbeacb8b626572?s=150	,,,
warface,,,,
Vilnis Dreimanis (marketings),https://crowdin-user-avatar.s3.amazonaws.com/98b727be391f3633e76f29b208011249_l.jpg	,,,
Cha (cafetango),,,,
Jesús Ruiz (jruiz),https://crowdin-user-avatar.s3.amazonaws.com/3ae8e2975c2f9c527e8c465c1a10ca86_l.jpg	,,,
transmetent,,,,
maurizioag,,,,
Gunnar Orn Thordarson (gunnarornthordarson),https://crowdin-user-avatar.s3.amazonaws.com/d09cd024b91998a964f75da995deb6bd_l.jpg	,,,
Csaba Mártha (csy),https://crowdin-user-avatar.s3.amazonaws.com/9ded674d30e770feefb8b9ce0470c527_l.jpg	,,,
farior,,,,
Dimitrios Karvounaris (kdimi),https://crowdin-user-avatar.s3.amazonaws.com/fd923cf60b5b6616eebf584d3030911a_l.jpeg	,,,
schibulski,,,,
Antti Ojaniemi (scsise),https://crowdin-user-avatar.s3.amazonaws.com/ba80af40eeb2b9148de90a3f5cd8989a_l.jpg	,,,
CapitalX,,,,
M. Mirena (mmirena),https://www.gravatar.com/avatar/e381b3a3459656626fe9a0a63180a3c9?s=150	,,,
Marme,,,,
Eduardo Bonsi (ebonsi),https://crowdin-user-avatar.s3.amazonaws.com/c02b5d76846543b2cf01a1128c1e73b9_l.jpg	,,,
Mads Oliver Jenssen (madsoliver),https://crowdin-user-avatar.s3.amazonaws.com/15fa406c89ef3836f68f4321caf6f382_l.jpg,,,
caplat93,,,,
